No,Variable_Name,Type,Description,Range_or_Levels
1,LotArea,Continuous,Lot size in square feet,"2,500 - 215,245"
2,GrLivArea,Continuous,Above grade living area (sq ft),"520 - 3,820"
3,TotalBsmtSF,Continuous,Total basement area (sq ft),"0 - 3,206"
4,GarageArea,Continuous,Garage area (sq ft),"0 - 1,488"
5,YearBuilt,Continuous,Original construction year,1900 - 2010
6,YearRemodel,Continuous,Remodel year (= YearBuilt if no remodel),1950 - 2010
7,TotalSqftCalc,Continuous (Engineered),Total finished square footage,"520 - 5,185"
8,QualityIndex,Continuous (Engineered),OverallQual × OverallCond interaction,9 - 72
9,BedroomAbvGr,Discrete,Number of bedrooms above grade,1 - 5
10,FullBath,Discrete,Number of full bathrooms above grade,1 - 3
11,HalfBath,Discrete,Number of half bathrooms above grade,0 - 2
12,OverallQual_*,Categorical (Dummy Set),Overall quality rating (7 dummies),Reference: 3
13,Neighborhood_*,Categorical (Dummy Set),Neighborhood location (20 dummies),Reference: Blmngtn
14,BsmtQual_*,Categorical (Dummy Set),Basement quality (4 dummies),Reference: Ex
15,ExterQual_*,Categorical (Dummy Set),Exterior quality (3 dummies),Reference: Ex
16,KitchenQual_*,Categorical (Dummy Set),Kitchen quality (3 dummies),Reference: Ex
